Google Maps Name,Source,Matched ID,Matched Name,Google Latitude,Google Longitude,Existing Latitude,Existing Longitude,Distance (km),Confidence,Match Reason,Recommendation
Piedra Playa El Cotillo,FreshSurf surfspots aus Fuerteventura,el-cotillo-piedra-playa,El Cotillo,28.6734195,-14.009285,28.6742,-14.0076,0.19,HIGH,Special mapping applied: cotillo → El Cotillo, 0.2km,UPDATE coordinates to Google Maps (more accurate)
Playa Ultima - El Cotillo,FreshSurf surfspots aus Fuerteventura,el-cotillo-piedra-playa,El Cotillo,28.6675455,-14.0110016,28.6742,-14.0076,0.81,HIGH,Special mapping applied: cotillo → El Cotillo, 0.8km,UPDATE coordinates to Google Maps (more accurate)
Playa de la Escalera,FreshSurf surfspots aus Fuerteventura,la-escalera,La Escalera,28.6474736,-14.0217733,28.687,-13.83,19.22,MEDIUM,Weak match: 19.2km, name similarity 100%,INVESTIGATE major coordinate discrepancy
Esquinzo,FreshSurf surfspots aus Fuerteventura,esquinzo-jandia,Esquinzo (Jandía),28.6347996,-14.0267086,28.0714,-14.304,68.27,MEDIUM,Weak match: 68.3km, name similarity 100%,INVESTIGATE location confusion - may be different spot
Playa de las Mujeres (Tindaya),FreshSurf surfspots aus Fuerteventura,playa-de-las-mujeres-jarugo,Playa de las Mujeres,28.5714821,-14.0486813,28.57758,-14.043362,0.85,MEDIUM,Partial name match, 0.9km from existing coordinates,UPDATE coordinates (minor improvement)
Punta Gorda,FreshSurf surfspots aus Fuerteventura,punta-gorda,Punta Gorda,28.7199854,-13.998127,28.687,-13.83,16.80,MEDIUM,Weak match: 16.8km, name similarity 100%,INVESTIGATE major coordinate discrepancy
Punta Blanca,FreshSurf surfspots aus Fuerteventura,punta-blanca,Punta Blanca,28.7241252,-13.9890289,28.725376,-13.989917,0.04,HIGH,Exact name match, 0.04km from existing coordinates,CONFIRMED - excellent accuracy
Generoso,FreshSurf surfspots aus Fuerteventura,generoso,Generoso,28.756348,-13.882551,28.756348,-13.882551,0.22,HIGH,Exact name match, 0.22km from existing coordinates,CONFIRMED - excellent accuracy
Harbour Wall,FreshSurf surfspots aus Fuerteventura,el-muelle,El Muelle,28.74248918,-13.86294365,28.74248918,-13.86294365,0.44,HIGH,Alternative name match, 0.44km from existing coordinates,CONFIRMED - alternative name validated
La Entubadera,FreshSurf surfspots aus Fuerteventura,la-entubadera,La Entubadera,28.7155,-13.8464,28.7155,-13.8464,0.84,HIGH,Exact name match, 0.84km from existing coordinates,CONFIRMED - excellent accuracy
