# Detailed Metadata Review Table

| # | Spot Name | ID | Area | Quality Score | Wave Types | Directions | Ability Level | Hazards | Bottom | Access | Parking | Facilities | Issues |
|---|-----------|----|-----|--------------|------------|------------|--------------|---------|-------|-------|--------|------------|--------|
| 1 | Acid Drop | acid-drop | North | 98/100 | 1 | 2 | Expert | 3 | 2 | ✅ | ✅ | ✅ | 0 |
| 2 | Bahia | bahia-la-pared | West | 100/100 | 1 | 1 | Advanced | 3 | 1 | ✅ | ✅ | ✅ | 0 |
| 3 | Bristol | bristol-shooting-gallery | North | 100/100 | 1 | 2 | Intermediate | 2 | 1 | ✅ | ✅ | ✅ | 0 |
| 4 | The Bubble | the-bubble | North | 100/100 | 2 | 3 | Expert | 4 | 4 | ✅ | ✅ | ✅ | 0 |
| 5 | Campo de Futbol | campo-de-futbol | West | 100/100 | 1 | 2 | Advanced | 1 | 1 | ✅ | ✅ | ✅ | 0 |
| 6 | Cruz Roja | cruz-roja | South | 98/100 | 1 | 2 | Intermediate | 3 | 1 | ✅ | ✅ | ✅ | 0 |
| 7 | El Burro | el-burro | North East | 100/100 | 2 | 3 | Intermediate | 4 | 3 | ✅ | ✅ | ✅ | 0 |
| 8 | El Cotillo | el-cotillo-piedra-playa | West | 100/100 | 1 | 2 | Beginner | 2 | 1 | ✅ | ✅ | ✅ | 0 |
| 9 | Playa del Moro | playa-del-moro | North East | 100/100 | 1 | 2 | Beginner | 3 | 2 | ✅ | ✅ | ✅ | 0 |
| 10 | El Muelle | el-muelle | North | 100/100 | 2 | 1 | Advanced | 4 | 3 | ✅ | ✅ | ✅ | 0 |
| 11 | El Pozo | el-pozo | South | 98/100 | 1 | 2 | Intermediate | 2 | 1 | ✅ | ✅ | ✅ | 0 |
| 12 | Spew Pits | spew-pits | West | 100/100 | 1 | 2 | Expert | 5 | 2 | ✅ | ✅ | ✅ | 0 |
| 13 | Esquinzo (Jandía) | esquinzo-jandia | South | 95/100 | 1 | 1 | Beginner | 3 | 1 | ✅ | ✅ | ✅ | 1 |
| 14 | Esquinzo | esquinzo | South | 95/100 | 1 | 1 | Beginner | 2 | 1 | ✅ | ✅ | ✅ | 1 |
| 15 | Flag Beach | flag-beach | North East | 100/100 | 1 | 2 | Intermediate | 3 | 2 | ✅ | ✅ | ✅ | 0 |
| 16 | Generoso | generoso | North | 100/100 | 1 | 2 | Intermediate | 4 | 3 | ✅ | ✅ | ✅ | 0 |
| 17 | Cofete | cofete-graveyard | South | 100/100 | 1 | 2 | Advanced | 4 | 1 | ✅ | ✅ | ✅ | 0 |
| 18 | La Caleta | la-caleta-boneyard | North | 100/100 | 1 | 2 | Intermediate | 2 | 1 | ✅ | ✅ | ✅ | 0 |
| 19 | La Concava | la-concava | North | 100/100 | 1 | 2 | Expert | 4 | 2 | ✅ | ✅ | ✅ | 0 |
| 20 | La Derecha de los Alemanes | la-derecha-de-los-alemanes | North | 100/100 | 1 | 1 | Intermediate | 4 | 3 | ✅ | ✅ | ✅ | 0 |
| 21 | La Entubadera | la-entubadera | North East | 100/100 | 1 | 3 | Beginner | 2 | 2 | ✅ | ✅ | ✅ | 0 |
| 22 | La Escalera | la-escalera | North West | 100/100 | 1 | 2 | Beginner | 3 | 2 | ✅ | ✅ | ✅ | 0 |
| 23 | La Izquierda del Hierro | la-izquierda-del-hierro | North | 100/100 | 1 | 1 | Expert | 3 | 2 | ✅ | ✅ | ✅ | 0 |
